task,method,seed,selected_lr,val_acc,test_acc,max_logit,W1_spec,W2_spec
logreg,sgd,0,0.1,0.9388888888888889,0.925,9.060683243885604,1.5282142997072266,0.0
logreg,sgd,1,0.2,0.9472222222222222,0.9583333333333334,12.060970388616564,1.9364464042667622,0.0
logreg,sgd,2,0.2,0.9611111111111111,0.9555555555555556,11.591878630302926,1.9019599402770888,0.0
logreg,sgd,3,0.2,0.9416666666666667,0.9555555555555556,11.750809760349924,1.9141237937738254,0.0
logreg,sgd,4,0.2,0.9388888888888889,0.9388888888888889,10.389670301573263,1.9003314874039363,0.0
logreg,adam,0,0.03,0.9555555555555556,0.9361111111111111,36.516508429116435,5.105364319676489,0.0
logreg,adam,1,0.03,0.9611111111111111,0.9555555555555556,54.95615884924506,5.439794172861863,0.0
logreg,adam,2,0.03,0.9611111111111111,0.9583333333333334,50.040620040875865,5.332512784476215,0.0
logreg,adam,3,0.03,0.9527777777777777,0.9611111111111111,61.01672372016346,5.201427339854303,0.0
logreg,adam,4,0.03,0.9361111111111111,0.9555555555555556,40.77556614750604,5.201842119329021,0.0
logreg,adamw,0,0.03,0.9555555555555556,0.9361111111111111,35.88297138248861,5.016018017946049,0.0
logreg,adamw,1,0.03,0.9611111111111111,0.9583333333333334,54.090123140902385,5.343699546287576,0.0
logreg,adamw,2,0.03,0.9611111111111111,0.9611111111111111,49.23120872001972,5.238427262102643,0.0
logreg,adamw,3,0.03,0.9527777777777777,0.9611111111111111,60.089857779063045,5.113886846076593,0.0
logreg,adamw,4,0.03,0.9361111111111111,0.9555555555555556,40.06833060739528,5.106201223367196,0.0
logreg,muon,0,1.0,0.9666666666666667,0.9555555555555556,19.197991595998275,2.6735545619216547,0.0
logreg,muon,1,1.0,0.9611111111111111,0.9583333333333334,22.03930848978234,2.7409997152967653,0.0
logreg,muon,2,1.0,0.9666666666666667,0.9666666666666667,19.921824011346022,2.697254091181781,0.0
logreg,muon,3,3.0,0.9583333333333334,0.9611111111111111,36.90233624731598,4.235924561496945,0.0
logreg,muon,4,1.0,0.9416666666666667,0.9583333333333334,18.415892164611417,2.706003162832703,0.0
logreg,muonw,0,1.0,0.9611111111111111,0.9527777777777777,12.633379974094005,1.8072774818599826,0.0
logreg,muonw,1,1.0,0.9638888888888889,0.9583333333333334,13.794723716651832,1.8485691794354342,0.0
logreg,muonw,2,1.0,0.9611111111111111,0.9555555555555556,12.437237927574062,1.8218895566259066,0.0
logreg,muonw,3,3.0,0.95,0.9583333333333334,11.086276204954583,1.847006163029385,0.0
logreg,muonw,4,3.0,0.9444444444444444,0.9555555555555556,13.769543273574604,1.8390984100685388,0.0
logreg,rms_muonw,0,0.005,0.9694444444444444,0.9583333333333334,23.67530259716492,3.8425863465717787,0.0
logreg,rms_muonw,1,0.005,0.9694444444444444,0.9611111111111111,25.89684348797191,3.869618523982784,0.0
logreg,rms_muonw,2,0.005,0.9638888888888889,0.9583333333333334,23.886225502809964,3.847351007072166,0.0
logreg,rms_muonw,3,0.005,0.9555555555555556,0.9666666666666667,22.777276049007476,3.8630381067447708,0.0
logreg,rms_muonw,4,0.01,0.9527777777777777,0.9555555555555556,46.927213083209175,7.542440262786719,0.0
logreg,newton_muonw,0,0.3,0.9472222222222222,0.95,8.006280013017331,2.0400995629032237,0.0
logreg,newton_muonw,1,0.3,0.9611111111111111,0.95,9.526495113703428,2.0824432442563983,0.0
logreg,newton_muonw,2,1.0,0.9583333333333334,0.9555555555555556,10.232014016625602,2.502829695075527,0.0
logreg,newton_muonw,3,1.0,0.9472222222222222,0.9527777777777777,10.136404903729531,2.504493681241351,0.0
logreg,newton_muonw,4,1.0,0.9388888888888889,0.9555555555555556,13.411245045831963,2.457092416682197,0.0
mlp,sgd,0,0.2,0.8916666666666667,0.8972222222222223,9.117643179800337,1.8878276711566249,1.7246768097078877
mlp,sgd,1,0.2,0.8666666666666667,0.8972222222222223,16.307811319393835,1.744766303357578,1.6510809819936896
mlp,sgd,2,0.2,0.8833333333333333,0.8861111111111111,7.12007234980274,1.7965237785195856,1.7129422186880519
mlp,sgd,3,0.2,0.8861111111111111,0.9222222222222223,10.643670484704995,1.8581013093515153,1.688992049924388
mlp,sgd,4,0.2,0.8944444444444445,0.9083333333333333,8.419399963205882,1.902918153369259,1.65372706285405
mlp,adam,0,0.01,0.9555555555555556,0.95,26.7256986174285,3.3932448603083754,2.1383399888960253
mlp,adam,1,0.03,0.9583333333333334,0.9611111111111111,64.98270370104194,5.449831651001333,3.1440540581125647
mlp,adam,2,0.03,0.9666666666666667,0.9527777777777777,44.129922380307136,5.4035943832117646,3.0719903971336726
mlp,adam,3,0.03,0.95,0.9722222222222222,44.13645620966155,5.426749950913772,3.007696866432243
mlp,adam,4,0.03,0.9472222222222222,0.9611111111111111,42.51805293227992,5.3380086265993825,3.278705333098694
mlp,adamw,0,0.01,0.9555555555555556,0.95,26.63452413295185,3.388114222445388,2.134205501306135
mlp,adamw,1,0.03,0.9583333333333334,0.9611111111111111,64.1886666896457,5.41776720037926,3.1257840389445497
mlp,adamw,2,0.03,0.9666666666666667,0.9527777777777777,43.37145465954513,5.374933490807335,3.054803962298094
mlp,adamw,3,0.03,0.95,0.9722222222222222,43.58168910422362,5.3974682590058585,2.9916447936649293
mlp,adamw,4,0.03,0.9472222222222222,0.9611111111111111,42.092877303882524,5.310105867730254,3.259273091317065
mlp,muon,0,3.0,0.9555555555555556,0.9555555555555556,32.23782209185234,2.755370549300301,2.9101569640791802
mlp,muon,1,3.0,0.9527777777777777,0.9611111111111111,35.39052238908907,2.749976686560345,3.2424717221572137
mlp,muon,2,3.0,0.9722222222222222,0.9611111111111111,22.95602501827533,2.703702490971517,3.2368383895212136
mlp,muon,3,3.0,0.9583333333333334,0.9638888888888889,31.390477346600026,2.5525707934791475,3.4465587323354137
mlp,muon,4,3.0,0.9472222222222222,0.9555555555555556,32.29961521457855,2.6637297680206817,3.0317104486112902
mlp,muonw,0,3.0,0.9611111111111111,0.9638888888888889,10.621161390648519,1.5490581879907557,1.9050286712812863
mlp,muonw,1,3.0,0.9611111111111111,0.9638888888888889,12.08884902196108,1.5606655172929995,2.0305343405024057
mlp,muonw,2,3.0,0.9777777777777777,0.9694444444444444,10.099127682245737,1.494285959690408,2.0233861282166994
mlp,muonw,3,3.0,0.9527777777777777,0.9638888888888889,11.586595624881076,1.469169677129651,2.1017145665526415
mlp,muonw,4,3.0,0.9638888888888889,0.9666666666666667,10.289924489689447,1.526403462935208,1.9525814662574454
mlp,rms_muonw,0,0.01,0.9527777777777777,0.95,25.632709673301825,3.323454649814554,2.632209659308594
mlp,rms_muonw,1,0.01,0.9527777777777777,0.9527777777777777,27.164361464851464,3.281177879357159,2.486303184621218
mlp,rms_muonw,2,0.02,0.9638888888888889,0.9611111111111111,76.36816476836528,5.32429338951941,4.18088409003178
mlp,rms_muonw,3,0.02,0.9472222222222222,0.9555555555555556,111.83518096496164,5.295943130370142,4.1866356427136875
mlp,rms_muonw,4,0.01,0.95,0.9555555555555556,22.86256501607721,3.265427453904075,2.54333969745874
mlp,newton_muonw,0,3.0,0.9611111111111111,0.9666666666666667,8.402911563601002,1.8306155732232292,2.1876296834131423
mlp,newton_muonw,1,3.0,0.9638888888888889,0.9638888888888889,8.234860594986461,2.026546317402056,2.332509136348738
mlp,newton_muonw,2,1.0,0.9638888888888889,0.9527777777777777,9.77702000480067,1.9544486379669597,2.4397397248662194
mlp,newton_muonw,3,3.0,0.9694444444444444,0.9583333333333334,8.922838648563294,1.8808605503568354,2.4781121152977517
mlp,newton_muonw,4,3.0,0.9638888888888889,0.9666666666666667,8.815462445088071,1.8671284927070255,2.324468512158196
