task,method,val_mean,val_std,test_mean,test_std,delta_vs_adamw_pp,selected_lr_mode,max_logit_mean,W1_spec_mean,W2_spec_mean
logreg,sgd,0.9455555555555556,0.008351831321318294,0.9466666666666667,0.01283802223143483,-0.7777777777777772,0.2,10.970802464945654,1.8362151850857678,0.0
logreg,adam,0.9533333333333334,0.009196080754026037,0.9533333333333334,0.008854098583616249,-0.11111111111111072,0.03,48.661115437381376,5.256188147239579,0.0
logreg,adamw,0.9533333333333334,0.009196080754026037,0.9544444444444444,0.009395296958493211,0.0,0.03,47.87249832597381,5.163646579156012,0.0
logreg,muon,0.9588888888888889,0.009196080754026035,0.96,0.0037679611017362464,0.5555555555555558,1.0,23.295470501810808,3.0107472185459696,0.0
logreg,muonw,0.9561111111111111,0.007535922203472546,0.9561111111111111,0.0020786985482077734,0.16666666666666607,1.0,12.744232219369817,1.8327681582038493,0.0
logreg,rms_muonw,0.9622222222222222,0.006938886664887114,0.96,0.003767961101736247,0.5555555555555558,0.005,28.63257214403269,4.593006849431644,0.0
logreg,newton_muonw,0.9505555555555556,0.008127077132404351,0.9527777777777778,0.002484519974999807,-0.16666666666667052,1.0,10.26248781858157,2.3173917200317393,0.0
mlp,sgd,0.8844444444444445,0.009718253158075505,0.9022222222222223,0.012222222222222244,-5.72222222222222,0.2,10.321719459381558,1.8380274431509125,1.6862838246336131
mlp,adam,0.9555555555555555,0.006804138174397739,0.9594444444444445,0.007777777777777797,0.0,0.03,44.49856676814381,5.002285894406926,2.9281573287346396
mlp,adamw,0.9555555555555555,0.006804138174397739,0.9594444444444445,0.007777777777777797,0.0,0.03,43.97384237804976,4.977677808073619,2.913142277506154
mlp,muon,0.9572222222222223,0.008351831321318292,0.9594444444444445,0.003333333333333322,4.440892098500626e-15,3.0,30.85489241207906,2.6850700576663984,3.1735472513408625
mlp,muonw,0.9633333333333333,0.008127077132404329,0.9655555555555555,0.0022222222222222144,0.6111111111111134,3.0,10.937131641885172,1.5199165610078045,2.0026490345620958
mlp,rms_muonw,0.9533333333333334,0.005665577237325337,0.9550000000000001,0.0036851386559504746,-0.44444444444444287,0.01,52.772596377511476,4.098059300593068,3.205874454826804
mlp,newton_muonw,0.9644444444444444,0.0027216552697590774,0.9616666666666667,0.005386310952684828,0.22222222222222365,3.0,8.8306186514079,1.9119199143312209,2.3524918344168095
